Contract Line Item Number (CLIN) ,UNSPSC Code (Version 11) ,Manufacturer Part Number (OEM) ,Manufacturer (OEM) ,SKU # / Item # ,New Item Description ,Unit of Measure ,Quantity in Unit of Measure (if Applicable ) ,List Price/MSRP ,Contract Unit Price ,Contract Discount ,Category 
200a,43211900,A3793590,DELL,A3793590,"MS - Display cable - DVI-D M - DVI-D M - 6.6 ft ( included in the 22"" widescreen monitor)",EACH,1, 12.99 , 8.96 ,31%,Options Upgrades
201b,43211900,A7639742,DELL,A7639742,6FT C2G DISPLAYPORT CABLE M/M BLK,EACH,1, 15.99 , 11.04 ,31%,Options Upgrades
202,81110000,318-2885,DELL,318-2885,"Dell USB Monitor Soundbar
AC511",EACH,1, 34.99 , 24.14 ,31%,Options Upgrades
203,81110000,332-1235,DELL,332-1235,"Dell MSA14 Single Monitor
Arm Stand",EACH,1, 129.99 , 89.69 ,31%,Options Upgrades
204,81110000,332-1236,DELL,332-1236,"Dell MDS14 Dual Monitor
Stand",EACH,1, 169.99 , 117.29 ,31%,Options Upgrades
205,81110000,855-BBBN,DELL,855-BBBN,"Dell MDA17 Dual Monitor
Stand",EACH,1, 249.99 , 172.50 ,31%,Options Upgrades
