Contract Line Item Number (CLIN) ,UNSPSC Code (Version 11) ,Manufacturer Part Number (OEM) ,Manufacturer (OEM) ,SKU # / Item # ,New Item Description ,Unit of Measure ,Quantity in Unit of Measure (if Applicable ) ,List Price/MSRP ,Contract Unit Price ,Contract Discount ,Category 
300a,81110000,"983-7873, 986-4872",DELL,"983-7873, 986-4872","Upgrade 4 Year Warranty
Exchange Replacement",EACH,1, 39.00 , 26.91 ,31%,"Service Options
Upgrades"
301a,81110000,983-1324,DELL,983-1324,"Upgrade 5 Year Warranty
Exchange Replacement",EACH,1, 49.00 , 33.81 ,31%,"Service Options
Upgrades"
302b,81110000,810-6398,DELL,810-6398,"Upgrade 4 Year Warranty
Exchange Replacement",EACH,1, 100.00 , 69.00 ,31%,Service Options Upgrades for 30 inch monitors
303b,81110000,810-6399,DELL,810-6399,"Upgrade 5 Year Warranty
Exchange Replacement",EACH,1, 150.00 , 103.50 ,31%,Service Options Upgrades for 30 inch monitors
304,81110000,LCD-EEEW-27-01,VIEWSONIC,LCD-EEEW-27-01,"Upgrade 4 Year Warranty
Exchange Replacement",EACH,1, 72.00 , 49.68 ,31%,"Service Options
Upgrades"
305,81110000,LCD-EEEW-27-02,VIEWSONIC,LCD-EEEW-27-02,"Upgrade 5 Year Warranty
Exchange Replacement",EACH,1, 121.00 , 83.49 ,31%,"Service Options
Upgrades"
306,81110000,806-2756,DELL,806-2756,"Upgrade 4 Year Warranty
Exchange Replacement",EACH,1, 19.00 , 13.11 ,31%,"P1917s, P2217, P2417H Service Options Upgrades"
307,81110000,806-2757,DELL,806-2757,"Upgrade 5 Year Warranty
Exchange Replacement",EACH,1, 29.00 , 20.01 ,31%,"P1917s, P2217, P2417H Service Options Upgrades"
