Contract Line Item Number (CLIN) ,Manufacturer Part Number (OEM #) ,Manufacturer (OEM) ,SKU # / Item # ,Item Description ,Unit of Measure ,Quantity in Unit of Measure (If Applicable) ,List Price/MSRP ,Contract Unit Price ,Contract Discount ,Category 
1800b ,858-BBCU ,DELL ,858-BBCU ,"P2016 19.5"" WideScreen Monitor ",EACH ,1, 189.99 , 129.20 ,32%,Monitor Options Upgrades 
1801a ,TD2220 ,VIEWSONIC ,TD2220 ,"22"" Touchscreen monitor ",EACH ,1, 445.00 , 302.60 ,32%,Monitor Options Upgrades 
1802a ,320-9704 ,DELL ,320-9704 ,"P2213 22"" Widescreen Monitor ",EACH ,1, 219.99 , 149.59 ,32%,Monitor Options Upgrades 
1803c ,320-9794 ,DELL ,320-9794 ,"P2414H 24"" Widescreen Monitor ",EACH ,1, 299.99 , 204.00 ,32%,Monitor Options Upgrades 
